iteration,method,composition,particle_size_nm,metal_loading_wt_pct,facet,calcination_temp_C,defect_density,activity,best_so_far,regret
1,bayesian_optimization,Cu2O-Au,256.3944096026849,4.30393352635151,100,449.425478714389,medium,11.2,11.2,85.8
2,bayesian_optimization,Cu2O-Pd,35.879633648884095,1.4360158434425552,110,524.8674915101974,medium,64.14,64.14,32.86
3,bayesian_optimization,Cu2O-Pd,254.10205379046576,1.7532411860446155,110,347.2966159362192,high,41.55,64.14,32.86
4,bayesian_optimization,Cu2O,263.6244323403622,2.4206794218411822,100,408.19099182048194,high,6.99,64.14,32.86
5,bayesian_optimization,Cu2O-Au,182.96554178103003,2.7331288243001532,100,242.36304287511686,medium,15.63,64.14,32.86
6,bayesian_optimization,Cu2O,226.3370895961083,1.1610967366794227,111,329.65640311728566,low,2.57,64.14,32.86
7,bayesian_optimization,Cu2O,128.2169147152414,4.522732530094084,110,445.225383153653,high,1.0,64.14,32.86
8,bayesian_optimization,Cu2O,291.54653896908974,3.3003861754098955,111,343.26086678781,high,1.0,64.14,32.86
9,bayesian_optimization,Cu2O-Au,111.01322412233871,0.2882845897164002,110,583.5797074498082,medium,13.91,64.14,32.86
10,bayesian_optimization,Cu2O-Au,298.6838789498086,2.951066614248819,110,389.87900091536517,medium,20.82,64.14,32.86
11,bayesian_optimization,Cu2O-Pd,20.0,5.0,100,200.0,medium,30.29,64.14,32.86
12,bayesian_optimization,Cu2O-Pd,20.0,0.1,110,600.0,medium,33.56,64.14,32.86
13,bayesian_optimization,Cu2O-Ag,75.37927906063979,3.1980109037258604,110,200.63447720452362,low,43.45,64.14,32.86
14,bayesian_optimization,Cu2O-Pd,46.80166109099616,2.1297047837063223,110,483.863883542723,medium,69.17,69.17,27.83
15,bayesian_optimization,Cu2O-Ag,300.0,2.096600849771476,100,315.44452335616825,medium,34.2,69.17,27.83
16,bayesian_optimization,Cu2O-Pd,268.82035503667015,2.085712774645809,100,525.5638527249102,medium,31.95,69.17,27.83
17,bayesian_optimization,Cu2O-Pd,20.0,2.1307517973627705,110,297.22586486817875,high,67.21,69.17,27.83
18,bayesian_optimization,Cu2O-Pd,71.35264028016194,1.998358790560861,111,342.44348268802884,low,87.24,87.24,9.76
19,bayesian_optimization,Cu2O-Pd,47.24788187330922,2.3149487764926096,110,600.0,low,50.22,87.24,9.76
20,bayesian_optimization,Cu2O-Pd,51.130681733497255,1.5666843864687863,111,378.84966702758936,low,88.1,88.1,8.9
21,bayesian_optimization,Cu2O-Pd,26.654076259162476,2.0500445241246177,111,386.3405091079155,medium,89.71,89.71,7.29
22,bayesian_optimization,Cu2O-Pd,20.0,1.7535835569991165,111,322.41552060828803,medium,95.45,95.45,1.55
23,bayesian_optimization,Cu2O-Pd,20.0,1.4915158960729558,111,200.0,medium,75.79,95.45,1.55
24,bayesian_optimization,Cu2O-Pd,20.0,1.122102517183842,111,325.4795376181109,medium,86.02,95.45,1.55
25,bayesian_optimization,Cu2O-Au,20.0,5.0,110,600.0,low,17.73,95.45,1.55
26,bayesian_optimization,Cu2O-Pd,20.0,1.8161397859489006,111,332.7770129958883,low,85.91,95.45,1.55
27,bayesian_optimization,Cu2O-Au,20.0,5.0,111,600.0,medium,15.74,95.45,1.55
28,bayesian_optimization,Cu2O-Pd,20.0,1.8137494262351719,111,361.3419748210931,medium,88.47,95.45,1.55
29,bayesian_optimization,Cu2O-Pd,20.0,1.7629046021754378,111,346.67280682780097,medium,93.38,95.45,1.55
30,bayesian_optimization,Cu2O-Pd,20.0,1.78998654178427,111,353.4618353614127,medium,88.73,95.45,1.55
31,bayesian_optimization,Cu2O-Pd,20.0,1.7655251064608812,111,347.10165051794615,medium,90.8,95.45,1.55
32,bayesian_optimization,Cu2O-Pd,20.0,1.7751399992763843,111,346.20594533819934,medium,97.39,97.39,-0.39
33,bayesian_optimization,Cu2O-Pd,20.0,1.777306311143796,111,328.6829619690993,medium,92.82,97.39,-0.39
34,bayesian_optimization,Cu2O-Pd,20.0,1.7957649390429404,111,327.01484447172743,medium,96.65,97.39,-0.39
35,bayesian_optimization,Cu2O-Pd,20.0,1.8334446791338872,111,325.0670409394845,medium,93.94,97.39,-0.39
36,bayesian_optimization,Cu2O-Pd,20.0,1.8417052518831414,100,322.12635782214784,medium,69.13,97.39,-0.39
37,bayesian_optimization,Cu2O-Pd,20.0,1.9699142582573355,111,354.6651336380523,medium,95.98,97.39,-0.39
38,bayesian_optimization,Cu2O-Pd,20.0,2.0660000818879007,111,359.2701441674346,medium,98.32,98.32,-1.32
39,bayesian_optimization,Cu2O-Pd,20.0,2.254998199910342,111,366.6260400903519,medium,89.75,98.32,-1.32
40,bayesian_optimization,Cu2O-Pd,20.0,2.0475654801150074,111,356.9019077416941,medium,93.07,98.32,-1.32
41,bayesian_optimization,Cu2O-Pd,20.0,2.05191194821833,111,355.35631736427865,medium,93.5,98.32,-1.32
42,bayesian_optimization,Cu2O-Pd,20.0,2.0580542876328427,111,355.33646776760975,medium,91.79,98.32,-1.32
43,bayesian_optimization,Cu2O-Pd,20.0,2.038274298898136,111,354.20234970109993,medium,89.13,98.32,-1.32
44,bayesian_optimization,Cu2O-Pd,20.0,1.9996928963894953,111,354.40885234583715,medium,94.72,98.32,-1.32
45,bayesian_optimization,Cu2O-Pd,20.0,2.018727533080196,111,355.10750044575934,medium,90.71,98.32,-1.32
46,bayesian_optimization,Cu2O-Pd,20.0,2.0101331109919274,111,352.5184149807054,medium,92.13,98.32,-1.32
47,bayesian_optimization,Cu2O-Pd,20.0,2.0014319355184957,111,353.6303237608517,medium,91.69,98.32,-1.32
48,bayesian_optimization,Cu2O-Pd,20.0,1.9960756847150025,111,353.06644597699426,medium,93.74,98.32,-1.32
49,bayesian_optimization,Cu2O-Pd,20.0,2.0037426625662853,111,352.16499551661786,medium,93.48,98.32,-1.32
50,bayesian_optimization,Cu2O-Pd,20.0,2.005412743398931,111,351.99233744613025,medium,88.97,98.32,-1.32
