iteration,method,composition,particle_size_nm,metal_loading_wt_pct,facet,calcination_temp_C,defect_density,activity,best_so_far
1,grid_search,Cu2O,20.0,0.1,111,200.0,low,6.32,6.32
2,grid_search,Cu2O,20.0,0.1,111,200.0,medium,8.38,8.38
3,grid_search,Cu2O,20.0,0.1,111,200.0,high,4.08,8.38
4,grid_search,Cu2O,20.0,0.1,111,300.0,low,10.82,10.82
5,grid_search,Cu2O,20.0,0.1,111,300.0,medium,5.39,10.82
6,grid_search,Cu2O,20.0,0.1,111,300.0,high,4.73,10.82
7,grid_search,Cu2O,20.0,0.1,111,400.0,low,1.0,10.82
8,grid_search,Cu2O,20.0,0.1,111,400.0,medium,3.77,10.82
9,grid_search,Cu2O,20.0,0.1,111,400.0,high,4.97,10.82
10,grid_search,Cu2O,20.0,0.1,111,500.0,low,7.18,10.82
11,grid_search,Cu2O,20.0,0.1,111,500.0,medium,6.08,10.82
12,grid_search,Cu2O,20.0,0.1,111,500.0,high,3.69,10.82
13,grid_search,Cu2O,20.0,0.1,111,600.0,low,7.65,10.82
14,grid_search,Cu2O,20.0,0.1,111,600.0,medium,3.14,10.82
15,grid_search,Cu2O,20.0,0.1,111,600.0,high,3.35,10.82
16,grid_search,Cu2O,20.0,0.1,110,200.0,low,2.02,10.82
17,grid_search,Cu2O,20.0,0.1,110,200.0,medium,5.02,10.82
18,grid_search,Cu2O,20.0,0.1,110,200.0,high,5.48,10.82
19,grid_search,Cu2O,20.0,0.1,110,300.0,low,3.91,10.82
20,grid_search,Cu2O,20.0,0.1,110,300.0,medium,8.73,10.82
21,grid_search,Cu2O,20.0,0.1,110,300.0,high,1.84,10.82
22,grid_search,Cu2O,20.0,0.1,110,400.0,low,9.91,10.82
23,grid_search,Cu2O,20.0,0.1,110,400.0,medium,7.17,10.82
24,grid_search,Cu2O,20.0,0.1,110,400.0,high,9.99,10.82
25,grid_search,Cu2O,20.0,0.1,110,500.0,low,10.46,10.82
26,grid_search,Cu2O,20.0,0.1,110,500.0,medium,6.57,10.82
27,grid_search,Cu2O,20.0,0.1,110,500.0,high,4.82,10.82
28,grid_search,Cu2O,20.0,0.1,110,600.0,low,1.0,10.82
29,grid_search,Cu2O,20.0,0.1,110,600.0,medium,5.85,10.82
30,grid_search,Cu2O,20.0,0.1,110,600.0,high,1.0,10.82
31,grid_search,Cu2O,20.0,0.1,100,200.0,low,3.15,10.82
32,grid_search,Cu2O,20.0,0.1,100,200.0,medium,10.07,10.82
33,grid_search,Cu2O,20.0,0.1,100,200.0,high,5.25,10.82
34,grid_search,Cu2O,20.0,0.1,100,300.0,low,9.93,10.82
35,grid_search,Cu2O,20.0,0.1,100,300.0,medium,7.53,10.82
36,grid_search,Cu2O,20.0,0.1,100,300.0,high,5.11,10.82
37,grid_search,Cu2O,20.0,0.1,100,400.0,low,8.19,10.82
38,grid_search,Cu2O,20.0,0.1,100,400.0,medium,11.09,11.09
39,grid_search,Cu2O,20.0,0.1,100,400.0,high,2.97,11.09
40,grid_search,Cu2O,20.0,0.1,100,500.0,low,4.61,11.09
41,grid_search,Cu2O,20.0,0.1,100,500.0,medium,5.41,11.09
42,grid_search,Cu2O,20.0,0.1,100,500.0,high,3.13,11.09
43,grid_search,Cu2O,20.0,0.1,100,600.0,low,1.0,11.09
44,grid_search,Cu2O,20.0,0.1,100,600.0,medium,5.77,11.09
45,grid_search,Cu2O,20.0,0.1,100,600.0,high,1.28,11.09
46,grid_search,Cu2O,20.0,1.3250000000000002,111,200.0,low,5.08,11.09
47,grid_search,Cu2O,20.0,1.3250000000000002,111,200.0,medium,5.16,11.09
48,grid_search,Cu2O,20.0,1.3250000000000002,111,200.0,high,6.44,11.09
49,grid_search,Cu2O,20.0,1.3250000000000002,111,300.0,low,7.39,11.09
50,grid_search,Cu2O,20.0,1.3250000000000002,111,300.0,medium,3.48,11.09
51,grid_search,Cu2O,20.0,1.3250000000000002,111,300.0,high,8.11,11.09
52,grid_search,Cu2O,20.0,1.3250000000000002,111,400.0,low,6.41,11.09
53,grid_search,Cu2O,20.0,1.3250000000000002,111,400.0,medium,10.12,11.09
54,grid_search,Cu2O,20.0,1.3250000000000002,111,400.0,high,4.46,11.09
55,grid_search,Cu2O,20.0,1.3250000000000002,111,500.0,low,1.0,11.09
56,grid_search,Cu2O,20.0,1.3250000000000002,111,500.0,medium,4.72,11.09
57,grid_search,Cu2O,20.0,1.3250000000000002,111,500.0,high,5.46,11.09
58,grid_search,Cu2O,20.0,1.3250000000000002,111,600.0,low,7.02,11.09
59,grid_search,Cu2O,20.0,1.3250000000000002,111,600.0,medium,9.63,11.09
60,grid_search,Cu2O,20.0,1.3250000000000002,111,600.0,high,7.25,11.09
61,grid_search,Cu2O,20.0,1.3250000000000002,110,200.0,low,7.42,11.09
62,grid_search,Cu2O,20.0,1.3250000000000002,110,200.0,medium,5.72,11.09
63,grid_search,Cu2O,20.0,1.3250000000000002,110,200.0,high,4.43,11.09
64,grid_search,Cu2O,20.0,1.3250000000000002,110,300.0,low,1.6,11.09
65,grid_search,Cu2O,20.0,1.3250000000000002,110,300.0,medium,4.67,11.09
66,grid_search,Cu2O,20.0,1.3250000000000002,110,300.0,high,2.48,11.09
67,grid_search,Cu2O,20.0,1.3250000000000002,110,400.0,low,6.94,11.09
68,grid_search,Cu2O,20.0,1.3250000000000002,110,400.0,medium,6.34,11.09
69,grid_search,Cu2O,20.0,1.3250000000000002,110,400.0,high,9.82,11.09
70,grid_search,Cu2O,20.0,1.3250000000000002,110,500.0,low,1.0,11.09
71,grid_search,Cu2O,20.0,1.3250000000000002,110,500.0,medium,6.51,11.09
72,grid_search,Cu2O,20.0,1.3250000000000002,110,500.0,high,5.95,11.09
73,grid_search,Cu2O,20.0,1.3250000000000002,110,600.0,low,5.16,11.09
74,grid_search,Cu2O,20.0,1.3250000000000002,110,600.0,medium,1.0,11.09
75,grid_search,Cu2O,20.0,1.3250000000000002,110,600.0,high,1.6,11.09
76,grid_search,Cu2O,20.0,1.3250000000000002,100,200.0,low,3.59,11.09
77,grid_search,Cu2O,20.0,1.3250000000000002,100,200.0,medium,2.3,11.09
78,grid_search,Cu2O,20.0,1.3250000000000002,100,200.0,high,4.23,11.09
