method,seed,iteration,activity,best_so_far,regret
random_search,0,1,33.64,33.64,63.36
random_search,0,2,26.46,33.64,63.36
random_search,0,3,17.54,33.64,63.36
random_search,0,4,30.14,33.64,63.36
random_search,0,5,25.07,33.64,63.36
random_search,0,6,19.04,33.64,63.36
random_search,0,7,23.17,33.64,63.36
random_search,0,8,54.81,54.81,42.19
random_search,0,9,50.51,54.81,42.19
random_search,0,10,58.09,58.09,38.91
random_search,0,11,31.14,58.09,38.91
random_search,0,12,11.15,58.09,38.91
random_search,0,13,13.31,58.09,38.91
random_search,0,14,15.54,58.09,38.91
random_search,0,15,12.49,58.09,38.91
random_search,0,16,29.69,58.09,38.91
random_search,0,17,34.95,58.09,38.91
random_search,0,18,6.64,58.09,38.91
random_search,0,19,40.48,58.09,38.91
random_search,0,20,64.45,64.45,32.55
random_search,0,21,39.99,64.45,32.55
random_search,0,22,58.17,64.45,32.55
random_search,0,23,13.91,64.45,32.55
random_search,0,24,51.98,64.45,32.55
random_search,0,25,26.61,64.45,32.55
random_search,0,26,30.19,64.45,32.55
random_search,0,27,22.4,64.45,32.55
random_search,0,28,7.54,64.45,32.55
random_search,0,29,4.76,64.45,32.55
random_search,0,30,44.21,64.45,32.55
random_search,0,31,24.08,64.45,32.55
random_search,0,32,46.12,64.45,32.55
random_search,0,33,28.7,64.45,32.55
random_search,0,34,21.4,64.45,32.55
random_search,0,35,1.71,64.45,32.55
random_search,0,36,15.51,64.45,32.55
random_search,0,37,7.6,64.45,32.55
random_search,0,38,21.05,64.45,32.55
random_search,0,39,4.88,64.45,32.55
random_search,0,40,47.26,64.45,32.55
random_search,0,41,33.01,64.45,32.55
random_search,0,42,1.4,64.45,32.55
random_search,0,43,3.21,64.45,32.55
random_search,0,44,14.82,64.45,32.55
random_search,0,45,41.81,64.45,32.55
random_search,0,46,38.38,64.45,32.55
random_search,0,47,37.88,64.45,32.55
random_search,0,48,16.15,64.45,32.55
random_search,0,49,7.3,64.45,32.55
random_search,0,50,38.82,64.45,32.55
bayesian_optimization,0,1,11.2,11.2,85.8
bayesian_optimization,0,2,64.14,64.14,32.86
bayesian_optimization,0,3,41.55,64.14,32.86
bayesian_optimization,0,4,6.99,64.14,32.86
bayesian_optimization,0,5,15.63,64.14,32.86
bayesian_optimization,0,6,2.57,64.14,32.86
bayesian_optimization,0,7,1.0,64.14,32.86
bayesian_optimization,0,8,1.0,64.14,32.86
bayesian_optimization,0,9,13.91,64.14,32.86
bayesian_optimization,0,10,20.82,64.14,32.86
bayesian_optimization,0,11,30.29,64.14,32.86
bayesian_optimization,0,12,33.56,64.14,32.86
bayesian_optimization,0,13,43.45,64.14,32.86
bayesian_optimization,0,14,69.17,69.17,27.83
bayesian_optimization,0,15,34.2,69.17,27.83
bayesian_optimization,0,16,31.95,69.17,27.83
bayesian_optimization,0,17,67.21,69.17,27.83
bayesian_optimization,0,18,87.24,87.24,9.76
bayesian_optimization,0,19,50.22,87.24,9.76
bayesian_optimization,0,20,88.1,88.1,8.9
bayesian_optimization,0,21,89.71,89.71,7.29
bayesian_optimization,0,22,95.45,95.45,1.55
bayesian_optimization,0,23,75.79,95.45,1.55
bayesian_optimization,0,24,86.02,95.45,1.55
bayesian_optimization,0,25,17.73,95.45,1.55
bayesian_optimization,0,26,85.91,95.45,1.55
bayesian_optimization,0,27,15.74,95.45,1.55
bayesian_optimization,0,28,88.47,95.45,1.55
bayesian_optimization,0,29,93.38,95.45,1.55
bayesian_optimization,0,30,88.73,95.45,1.55
bayesian_optimization,0,31,90.8,95.45,1.55
bayesian_optimization,0,32,97.39,97.39,-0.39
bayesian_optimization,0,33,92.82,97.39,-0.39
bayesian_optimization,0,34,96.65,97.39,-0.39
bayesian_optimization,0,35,93.94,97.39,-0.39
bayesian_optimization,0,36,69.13,97.39,-0.39
bayesian_optimization,0,37,95.98,97.39,-0.39
bayesian_optimization,0,38,98.32,98.32,-1.32
bayesian_optimization,0,39,89.75,98.32,-1.32
bayesian_optimization,0,40,93.07,98.32,-1.32
bayesian_optimization,0,41,93.5,98.32,-1.32
bayesian_optimization,0,42,91.79,98.32,-1.32
bayesian_optimization,0,43,89.13,98.32,-1.32
bayesian_optimization,0,44,94.72,98.32,-1.32
bayesian_optimization,0,45,90.71,98.32,-1.32
bayesian_optimization,0,46,92.13,98.32,-1.32
bayesian_optimization,0,47,91.69,98.32,-1.32
bayesian_optimization,0,48,93.74,98.32,-1.32
bayesian_optimization,0,49,93.48,98.32,-1.32
bayesian_optimization,0,50,88.97,98.32,-1.32
random_search,1,1,27.87,27.87,69.13
random_search,1,2,51.77,51.77,45.23
random_search,1,3,54.21,54.21,42.79
random_search,1,4,25.53,54.21,42.79
random_search,1,5,49.3,54.21,42.79
random_search,1,6,11.32,54.21,42.79
random_search,1,7,25.91,54.21,42.79
random_search,1,8,34.07,54.21,42.79
random_search,1,9,36.92,54.21,42.79
random_search,1,10,29.82,54.21,42.79
random_search,1,11,43.51,54.21,42.79
random_search,1,12,37.56,54.21,42.79
random_search,1,13,18.93,54.21,42.79
random_search,1,14,38.72,54.21,42.79
random_search,1,15,14.85,54.21,42.79
random_search,1,16,46.41,54.21,42.79
random_search,1,17,9.36,54.21,42.79
random_search,1,18,43.19,54.21,42.79
random_search,1,19,1.0,54.21,42.79
random_search,1,20,51.62,54.21,42.79
random_search,1,21,10.95,54.21,42.79
random_search,1,22,23.44,54.21,42.79
random_search,1,23,37.02,54.21,42.79
random_search,1,24,23.15,54.21,42.79
random_search,1,25,34.16,54.21,42.79
random_search,1,26,30.09,54.21,42.79
random_search,1,27,37.4,54.21,42.79
random_search,1,28,23.18,54.21,42.79
random_search,1,29,35.71,54.21,42.79
random_search,1,30,31.69,54.21,42.79
random_search,1,31,55.03,55.03,41.97
random_search,1,32,37.51,55.03,41.97
random_search,1,33,16.8,55.03,41.97
random_search,1,34,25.52,55.03,41.97
random_search,1,35,24.27,55.03,41.97
random_search,1,36,6.63,55.03,41.97
random_search,1,37,20.92,55.03,41.97
random_search,1,38,1.0,55.03,41.97
random_search,1,39,13.14,55.03,41.97
random_search,1,40,26.7,55.03,41.97
random_search,1,41,3.23,55.03,41.97
random_search,1,42,3.77,55.03,41.97
random_search,1,43,25.66,55.03,41.97
random_search,1,44,24.07,55.03,41.97
random_search,1,45,17.29,55.03,41.97
random_search,1,46,32.15,55.03,41.97
random_search,1,47,54.63,55.03,41.97
random_search,1,48,54.91,55.03,41.97
random_search,1,49,24.77,55.03,41.97
random_search,1,50,3.98,55.03,41.97
bayesian_optimization,1,1,28.56,28.56,68.44
bayesian_optimization,1,2,24.93,28.56,68.44
bayesian_optimization,1,3,64.44,64.44,32.56
bayesian_optimization,1,4,21.32,64.44,32.56
bayesian_optimization,1,5,23.39,64.44,32.56
bayesian_optimization,1,6,25.08,64.44,32.56
bayesian_optimization,1,7,25.87,64.44,32.56
bayesian_optimization,1,8,42.88,64.44,32.56
bayesian_optimization,1,9,2.81,64.44,32.56
bayesian_optimization,1,10,13.72,64.44,32.56
bayesian_optimization,1,11,37.98,64.44,32.56
bayesian_optimization,1,12,64.53,64.53,32.47
bayesian_optimization,1,13,34.2,64.53,32.47
bayesian_optimization,1,14,52.77,64.53,32.47
bayesian_optimization,1,15,48.85,64.53,32.47
bayesian_optimization,1,16,67.67,67.67,29.33
bayesian_optimization,1,17,56.43,67.67,29.33
bayesian_optimization,1,18,43.98,67.67,29.33
bayesian_optimization,1,19,42.42,67.67,29.33
bayesian_optimization,1,20,57.54,67.67,29.33
bayesian_optimization,1,21,62.53,67.67,29.33
bayesian_optimization,1,22,64.96,67.67,29.33
bayesian_optimization,1,23,79.68,79.68,17.32
bayesian_optimization,1,24,57.78,79.68,17.32
bayesian_optimization,1,25,89.79,89.79,7.21
bayesian_optimization,1,26,66.12,89.79,7.21
bayesian_optimization,1,27,89.42,89.79,7.21
bayesian_optimization,1,28,89.45,89.79,7.21
bayesian_optimization,1,29,99.5,99.5,-2.5
bayesian_optimization,1,30,88.21,99.5,-2.5
bayesian_optimization,1,31,94.86,99.5,-2.5
bayesian_optimization,1,32,92.59,99.5,-2.5
bayesian_optimization,1,33,8.46,99.5,-2.5
bayesian_optimization,1,34,4.07,99.5,-2.5
bayesian_optimization,1,35,37.54,99.5,-2.5
bayesian_optimization,1,36,46.41,99.5,-2.5
bayesian_optimization,1,37,23.75,99.5,-2.5
bayesian_optimization,1,38,74.44,99.5,-2.5
bayesian_optimization,1,39,2.52,99.5,-2.5
bayesian_optimization,1,40,5.04,99.5,-2.5
bayesian_optimization,1,41,92.56,99.5,-2.5
bayesian_optimization,1,42,16.37,99.5,-2.5
bayesian_optimization,1,43,89.97,99.5,-2.5
bayesian_optimization,1,44,17.05,99.5,-2.5
bayesian_optimization,1,45,32.86,99.5,-2.5
bayesian_optimization,1,46,5.65,99.5,-2.5
bayesian_optimization,1,47,95.78,99.5,-2.5
bayesian_optimization,1,48,98.66,99.5,-2.5
bayesian_optimization,1,49,95.39,99.5,-2.5
bayesian_optimization,1,50,91.53,99.5,-2.5
random_search,2,1,41.24,41.24,55.76
random_search,2,2,39.45,41.24,55.76
random_search,2,3,12.8,41.24,55.76
random_search,2,4,15.59,41.24,55.76
random_search,2,5,3.69,41.24,55.76
random_search,2,6,6.58,41.24,55.76
random_search,2,7,1.54,41.24,55.76
random_search,2,8,48.44,48.44,48.56
random_search,2,9,28.21,48.44,48.56
random_search,2,10,20.99,48.44,48.56
random_search,2,11,58.19,58.19,38.81
random_search,2,12,13.63,58.19,38.81
random_search,2,13,6.49,58.19,38.81
random_search,2,14,34.12,58.19,38.81
random_search,2,15,41.4,58.19,38.81
