iteration,method,composition,particle_size_nm,metal_loading_wt_pct,facet,calcination_temp_C,defect_density,activity,best_so_far,regret
1,random_search,Cu2O-Ag,95.54027985388369,0.300770267287354,110,206.61105421141164,low,33.64,33.64,63.36
2,random_search,Cu2O-Ag,224.25903707551956,2.7637624581805724,110,526.3414216486128,high,26.46,33.64,63.36
3,random_search,Cu2O-Au,224.30352500038433,0.9607125409525392,111,545.2715689399547,low,17.54,33.64,63.36
4,random_search,Cu2O-Au,27.92950792072963,0.7089880548478633,111,458.87580462970004,high,30.14,33.64,63.36
5,random_search,Cu2O-Pd,294.63389485734444,3.4591557239554045,100,460.18371050712653,high,25.07,33.64,63.36
6,random_search,Cu2O-Au,222.01673525434288,2.6742361801310572,110,394.33414353271564,low,19.04,33.64,63.36
7,random_search,Cu2O-Au,180.02835260433307,1.6771600162721167,110,437.72001207987876,medium,23.17,33.64,63.36
8,random_search,Cu2O-Pd,83.60412618934632,3.153617008961608,111,533.0576590613591,low,54.81,54.81,42.19
9,random_search,Cu2O-Ag,36.39904974545442,1.746973596673736,100,260.11178675793565,high,50.51,54.81,42.19
10,random_search,Cu2O-Pd,34.565964298034686,2.082304015125488,100,236.30121824764876,low,58.09,58.09,38.91
11,random_search,Cu2O-Ag,75.86432431109972,4.716354241481839,100,346.0440672979314,medium,31.14,58.09,38.91
12,random_search,Cu2O,143.30560332041952,4.777493419084612,111,370.09144993963025,medium,11.15,58.09,38.91
13,random_search,Cu2O-Au,148.8126390065469,3.812871342010628,100,398.9690781950476,medium,13.31,58.09,38.91
14,random_search,Cu2O-Au,225.65540010084422,3.5846001021497744,100,245.97305331236208,high,15.54,58.09,38.91
15,random_search,Cu2O-Au,24.1177653903034,4.331836442203321,100,592.4780160265377,high,12.49,58.09,38.91
16,random_search,Cu2O-Ag,269.1819556017458,4.129631754961045,111,292.94916785572156,medium,29.69,58.09,38.91
17,random_search,Cu2O-Ag,170.90163413421234,2.2694888619752045,111,572.4069263924621,high,34.95,58.09,38.91
18,random_search,Cu2O,27.942302231785895,3.624176886851028,111,503.1804009425712,low,6.64,58.09,38.91
19,random_search,Cu2O-Pd,255.5688382914673,0.42678104295879693,111,337.7239915216501,low,40.48,58.09,38.91
20,random_search,Cu2O-Pd,92.48208608786103,1.2842109990622905,111,290.34777136692975,high,64.45,64.45,32.55
21,random_search,Cu2O-Ag,246.71901725557777,2.846332164830311,110,315.3684857724842,medium,39.99,64.45,32.55
22,random_search,Cu2O-Pd,288.54173995528384,1.9100816143492365,111,437.56968064526734,medium,58.17,64.45,32.55
23,random_search,Cu2O-Ag,274.78850926544317,0.31102775398420046,110,529.0825120726008,high,13.91,64.45,32.55
24,random_search,Cu2O-Pd,122.21292417231578,0.48528718211163546,111,309.53963943982285,medium,51.98,64.45,32.55
25,random_search,Cu2O-Ag,262.1379227122168,0.3913743428416585,111,352.30820332435576,medium,26.61,64.45,32.55
26,random_search,Cu2O-Pd,237.19353266851195,1.6134010773243792,100,545.2480816757271,low,30.19,64.45,32.55
27,random_search,Cu2O-Au,298.57685748505696,1.6481233723017312,110,273.084951570625,low,22.4,64.45,32.55
28,random_search,Cu2O-Ag,288.3558168978265,4.636001428350652,100,544.2805638190711,high,7.54,64.45,32.55
29,random_search,Cu2O,220.09319026333077,0.9185593510331337,100,358.2229092419504,high,4.76,64.45,32.55
30,random_search,Cu2O-Ag,74.3563364094222,2.6775090182275885,100,235.57425609850878,medium,44.21,64.45,32.55
31,random_search,Cu2O-Pd,236.34177634310882,4.893501997816714,111,435.9480113283802,high,24.08,64.45,32.55
32,random_search,Cu2O-Pd,74.6300715679054,2.9306706733375107,100,584.9692372497524,medium,46.12,64.45,32.55
33,random_search,Cu2O-Au,37.610739567391974,3.6568162325013063,110,235.10715470379472,low,28.7,64.45,32.55
34,random_search,Cu2O-Pd,275.53414141944796,3.852993876920475,100,250.96120361956253,high,21.4,64.45,32.55
35,random_search,Cu2O,197.5395942172841,2.53320129961438,100,265.4173664785921,low,1.71,64.45,32.55
36,random_search,Cu2O-Au,148.89949208285094,2.5866023166681833,100,237.0981902093523,high,15.51,64.45,32.55
37,random_search,Cu2O-Au,156.87689011619278,4.944607133502316,100,273.1773298702875,low,7.6,64.45,32.55
38,random_search,Cu2O-Ag,247.78953797029794,3.0539596356814704,100,565.4763050829556,medium,21.05,64.45,32.55
39,random_search,Cu2O,111.15277250819724,4.970731178928923,110,512.4762008305513,low,4.88,64.45,32.55
40,random_search,Cu2O-Pd,44.30816422017036,3.5712519088779437,111,519.6785518864459,high,47.26,64.45,32.55
41,random_search,Cu2O-Au,121.44622613567935,2.1454957498014613,111,416.5639934520658,medium,33.01,64.45,32.55
42,random_search,Cu2O,228.42660337727173,4.274191969947859,111,481.51430770671914,low,1.4,64.45,32.55
43,random_search,Cu2O,138.7498159243236,4.900474671697316,100,589.593761940942,medium,3.21,64.45,32.55
44,random_search,Cu2O-Au,153.32118015125084,4.332552581375716,111,317.5697023898231,high,14.82,64.45,32.55
45,random_search,Cu2O-Ag,129.58651936530597,0.461330965649249,111,390.4667852867982,low,41.81,64.45,32.55
46,random_search,Cu2O-Pd,54.35338484930056,4.675467658788529,111,529.5125433571086,high,38.38,64.45,32.55
47,random_search,Cu2O-Pd,219.21631075297225,2.8882266858904555,111,530.3828888681596,high,37.88,64.45,32.55
48,random_search,Cu2O-Au,129.6689438470928,3.7899449503418148,100,435.3520437716859,medium,16.15,64.45,32.55
49,random_search,Cu2O,73.3729169131251,4.328454993057653,111,425.76512844823765,low,7.3,64.45,32.55
50,random_search,Cu2O-Pd,214.92324609544997,1.7071132198465526,110,469.91945998691153,low,38.82,64.45,32.55
